"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","returns null for unmapped input: 42","toDomainError","2026-06-13","passed","2026-06-13","","","",""
"","203","returns HTTP 200","GET /health","2026-06-13","passed","2026-06-13","","when the database is reachable","",""
"","0","returns CRITICAL at 51 with assertion category","assignSeverity","2026-06-13","passed","2026-06-13","","CRITICAL — occurrenceCount >= 50","",""
"","2","maps 404 on /api/v1/projects/*/runs/* to 404 RUN_NOT_FOUND (more specific than the projects branch)","error-handler plugin","2026-06-13","passed","2026-06-13","","within /api/v1","",""
"","1","accepts PASSED","isTestCaseStatus","2026-06-13","passed","2026-06-13","","","",""
"","24","200 returns empty items when no patterns exist","GET /api/v1/projects/:projectId/failure-patterns (integration)","2026-06-13","passed","2026-06-13","","","",""
"","1","omits durationMs when time is absent","junitXmlAdapter","2026-06-13","passed","2026-06-13","","duration","",""
"","1","accepts FAILED","isTestRunStatus","2026-06-13","passed","2026-06-13","","","",""
"","22","persists cases when withTransaction commits","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","createMany","",""
"","1","rejects unknown strings","isSourceType","2026-06-13","passed","2026-06-13","","","",""
"","1","rejects unknown strings","isProjectHealthStatus","2026-06-13","passed","2026-06-13","","","",""
"","25","returns [] when the project has no runs in window","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","computeReliabilitySummaries","",""
"","1","returns true for an error with code 23503","isForeignKeyViolation","2026-06-13","passed","2026-06-13","","","",""
"","6","returns FLAKY and BROKEN items, excludes STABLE","getFlakyTests","2026-06-13","passed","2026-06-13","","","",""
"","32","rejects unknown projectId with ForeignKeyError; nothing persists (all-or-nothing)","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","createMany","",""
"","1","builds pattern from failureType + testName when message is whitespace","extractPattern","2026-06-13","passed","2026-06-13","","fallbacks when failureMessage is absent","",""
"","68","200 surfaces flaky and broken tests, excludes stable","GET /api/v1/projects/:projectId/flaky-tests (integration)","2026-06-13","passed","2026-06-13","","","",""
"","1","maps Playwright status skipped to SKIPPED","playwrightAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","1","accepts playwright","isSourceType","2026-06-13","passed","2026-06-13","","","",""
"","21","normalises a missing description to undefined (not null)","PgProjectRepository (integration)","2026-06-13","passed","2026-06-13","","create","",""
"","26","throws IngestionFailedError when input.kind is xml","playwrightAdapter","2026-06-13","passed","2026-06-13","","error cases","",""
"","1","throws 404 when project does not exist","getRunCases","2026-06-13","passed","2026-06-13","","","",""
"","21","increments occurrenceCount on conflict (second upsert → 2)","PgFailurePatternRepository (integration)","2026-06-13","passed","2026-06-13","","upsertByPattern","",""
"","0","returns CRITICAL at exactly 50, any category","assignSeverity","2026-06-13","passed","2026-06-13","","CRITICAL — occurrenceCount >= 50","",""
"","65","returns status ok and database connected","GET /health","2026-06-13","passed","2026-06-13","","when the database is reachable","",""
"","1","takes only the first line of a multi-line failure message","extractPattern","2026-06-13","passed","2026-06-13","","miscellaneous","",""
"","23","returns all cases for the run ordered by full_name ASC","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","findByTestRun","",""
"","1","rejects non-string inputs","isSourceType","2026-06-13","passed","2026-06-13","","","",""
"","0","returns CRITICAL even when only ONE CRITICAL condition is met (no need for all)","evaluateHealth","2026-06-13","passed","2026-06-13","","precedence","",""
"","1","scrubs hex memory addresses","extractPattern","2026-06-13","passed","2026-06-13","","happy path — scrubbing volatile substrings","",""
"","1","falls back to 'unknown' when constraint name is missing","toDomainError","2026-06-13","passed","2026-06-13","","","",""
"","34","paginates correctly over 12 rows with executed_at DESC ordering","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","listByProject","",""
"","28","returns all runs for the project with no filter","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","listByProject","",""
"","27","returns { items: [], total: 0 } for an empty table","PgProjectRepository (integration)","2026-06-13","passed","2026-06-13","","list","",""
"","2","throws IngestionFailedError on unrecognised Jest status","jestAdapter","2026-06-13","passed","2026-06-13","","error cases","",""
"","21","400 VALIDATION_ERROR when body has an unknown top-level field","POST /api/v1/projects/:projectId/ingest (integration)","2026-06-13","passed","2026-06-13","","JSON path (application/json)","",""
"","6","scrubs file:line refs from a node-style stack frame","extractPattern","2026-06-13","passed","2026-06-13","","happy path — scrubbing volatile substrings","",""
"","22","404 RUN_NOT_FOUND for an unknown runId","test-run query endpoints (integration)","2026-06-13","passed","2026-06-13","","GET /api/v1/projects/:projectId/runs/:runId","",""
"","1","returns cases: [] for an empty testsuite (no testcases)","junitXmlAdapter","2026-06-13","passed","2026-06-13","","empty inputs","",""
"","1","returns LOW at 4","assignSeverity","2026-06-13","passed","2026-06-13","","MEDIUM — occurrenceCount >= 5","",""
"","3","propagates infrastructure errors from repo.list unchanged","listProjects","2026-06-13","passed","2026-06-13","","","",""
"","2","returns zero counts, recentPassRate=1.0, HEALTHY when project is empty","getProjectOverview","2026-06-13","passed","2026-06-13","","","",""
"","20","400 VALIDATION_ERROR for invalid bucketSize","GET /api/v1/projects/:projectId/failure-trends (integration)","2026-06-13","passed","2026-06-13","","","",""
"","1","scrubs UUIDs from messages","extractPattern","2026-06-13","passed","2026-06-13","","happy path — scrubbing volatile substrings","",""
"","1","leaves optional run fields undefined when absent","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","optional testRun fields","",""
"","2","counts ERROR toward failedTests","ingestTestRun","2026-06-13","passed","2026-06-13","","derived run fields","",""
"","1","returns { items: [] } when no patterns exist","getFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","24","200 returns empty items when the run has no cases","test-run query endpoints (integration)","2026-06-13","passed","2026-06-13","","GET /api/v1/projects/:projectId/runs/:runId/cases","",""
"","21","omits description from the response when not provided in the request","POST /api/v1/projects (integration)","2026-06-13","passed","2026-06-13","","201 happy path","",""
"","23","persists no failure_patterns rows when every case PASSED","POST /api/v1/projects/:projectId/ingest (integration)","2026-06-13","passed","2026-06-13","","failure pattern extraction","",""
"","32","200 returns runs with correct items, total, page, limit","test-run query endpoints (integration)","2026-06-13","passed","2026-06-13","","GET /api/v1/projects/:projectId/runs","",""
"","2","returns BROKEN for a single FAILED result","classifyReliability","2026-06-13","passed","2026-06-13","","BROKEN classifications","",""
"","1","produces the same pattern for two messages differing only in UUID","extractPattern","2026-06-13","passed","2026-06-13","","pattern stability","",""
"","1","preserves the payload reference (does not clone)","success","2026-06-13","passed","2026-06-13","","","",""
"","21","returns 0 when the project has no runs","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","countByProject","",""
"","68","returns HTTP 200","GET /health","2026-06-13","passed","2026-06-13","","when the database is unreachable","",""
"","27","extracts a failure pattern from a JUnit XML upload","POST /api/v1/projects/:projectId/ingest (integration)","2026-06-13","passed","2026-06-13","","failure pattern extraction","",""
"","1","returns cases: [] when testResults is empty","jestAdapter","2026-06-13","passed","2026-06-13","","empty inputs","",""
"","1","returns FLAKY for a mix of PASSED and FAILED","classifyReliability","2026-06-13","passed","2026-06-13","","FLAKY classifications","",""
"","3","emits CRITICAL_SEVERITY_PATTERN critical when a CRITICAL pattern exists","getProjectHealth","2026-06-13","passed","2026-06-13","","warnings and critical issues","",""
"","22","prefers a run with executedAt over a run with NULL executedAt (NULLS LAST)","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","findMostRecentByProject","",""
"","1","returns unknown for content that matches no rule","extractPattern","2026-06-13","passed","2026-06-13","","category detection","",""
"","22","persists the run and cases atomically and returns { runId, testCaseCount }","ingestTestRun","2026-06-13","passed","2026-06-13","","","",""
"","2","aggregates every warning and critical code when all conditions fire","detectIssues","2026-06-13","passed","2026-06-13","","compound inputs","",""
"","21","422 INGESTION_FAILED when the uploaded file is not valid JSON","POST /api/v1/projects/:projectId/ingest (integration)","2026-06-13","passed","2026-06-13","","multipart path (multipart/form-data)","",""
"","1","returns an envelope with exactly one top-level key","failure","2026-06-13","passed","2026-06-13","","","",""
"","2","scrubs URL query strings while preserving the base URL","extractPattern","2026-06-13","passed","2026-06-13","","happy path — scrubbing volatile substrings","",""
"","35","200 returns zero counts and HEALTHY for an empty project","GET /api/v1/projects/:projectId/overview (integration)","2026-06-13","passed","2026-06-13","","","",""
"","4","returns cases: [] when suites is empty","playwrightAdapter","2026-06-13","passed","2026-06-13","","empty inputs","",""
"","1","formats pass rate as a percentage rounded to one decimal","detectIssues","2026-06-13","passed","2026-06-13","","message content","",""
"","2","throws 404 when project does not exist","listRuns","2026-06-13","passed","2026-06-13","","","",""
"","25","sorts cases from NULL-executedAt runs after non-NULL (NULLS LAST)","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","findRecentByFullName","",""
"","1","omits suiteName and uses testName alone when ancestorTitles is empty","jestAdapter","2026-06-13","passed","2026-06-13","","ancestorTitles join","",""
"","2","returns CRITICAL for flakyTestCount > 15","evaluateHealth","2026-06-13","passed","2026-06-13","","CRITICAL","",""
"","4","does not wrap errors from other non-/api/v1 routes in the envelope","error-handler plugin","2026-06-13","passed","2026-06-13","","outside /api/v1 (pass-through)","",""
"","1","produces the same pattern for two messages differing only in timestamp","extractPattern","2026-06-13","passed","2026-06-13","","pattern stability","",""
"","2","asks patternRepo for 50 patterns even though only 5 are surfaced","getProjectOverview","2026-06-13","passed","2026-06-13","","topFailurePatterns and topCriticalIssues","",""
"","1","wraps an empty array","success","2026-06-13","passed","2026-06-13","","","",""
"","1","collapses runs of whitespace to a single space","extractPattern","2026-06-13","passed","2026-06-13","","miscellaneous","",""
"","2","returns CRITICAL at recentFailureRate = 1.0 (every recent run failed)","evaluateHealth","2026-06-13","passed","2026-06-13","","CRITICAL","",""
"","4","contains the spec-defined values in order","TEST_RUN_STATUSES","2026-06-13","passed","2026-06-13","","","",""
"","1","detects database category from ""deadlock""","extractPattern","2026-06-13","passed","2026-06-13","","category detection","",""
"","1","accepts json","isSourceType","2026-06-13","passed","2026-06-13","","","",""
"","1","rejects non-string inputs","isReliabilityState","2026-06-13","passed","2026-06-13","","","",""
"","23","excludes case results belonging to a different project","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","countByProject","",""
"","36","rejects creating a second project with the same slug","POST /api/v1/projects (integration)","2026-06-13","passed","2026-06-13","","409 DUPLICATE_PROJECT_SLUG","",""
"","5","returns LOW when stale, even with 1000 occurrences","assignSeverity","2026-06-13","passed","2026-06-13","","stale precedence (lastSeenAt > 30 days ago)","",""
"","1","returns MEDIUM at exactly 5","assignSeverity","2026-06-13","passed","2026-06-13","","MEDIUM — occurrenceCount >= 5","",""
"","0","returns CRITICAL when both CRITICAL and WARNING conditions are met (CRITICAL wins)","evaluateHealth","2026-06-13","passed","2026-06-13","","precedence","",""
"","23","does NOT persist cases when withTransaction rolls back","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","createMany","",""
"","1","emits the correct mix for a varied pattern list","detectIssues","2026-06-13","passed","2026-06-13","","HIGH_SEVERITY_PATTERN / CRITICAL_SEVERITY_PATTERN","",""
"","0","preserves the generic return type of fn","withTransaction","2026-06-13","passed","2026-06-13","","happy path","",""
"","1","omits suiteName when testsuite has no name attribute","junitXmlAdapter","2026-06-13","passed","2026-06-13","","suiteName and fullName","",""
"","0","uses new Date() when now is omitted (recent lastSeenAt → not stale)","assignSeverity","2026-06-13","passed","2026-06-13","","now defaulting","",""
"","1","does not call upsertByPattern when every case is filtered out","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","1","translates page=2, limit=10 to offset=10","listRuns","2026-06-13","passed","2026-06-13","","","",""
"","1","rejects unknown strings","isReliabilityState","2026-06-13","passed","2026-06-13","","","",""
"","22","throws IngestionFailedError when input.kind is xml","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","wrong AdapterInput kind","",""
"","1","leaves failureMessage undefined when failureMessages is empty array","jestAdapter","2026-06-13","passed","2026-06-13","","failureMessage extraction","",""
"","1","returns unknown for the fallback ""Unknown failure"" pattern","extractPattern","2026-06-13","passed","2026-06-13","","category detection","",""
"","0","keeps severity LOW for a small batch (below MEDIUM threshold)","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","37","topFailurePatterns is populated after ingestion of FAILED cases","GET /api/v1/projects/:projectId/overview (integration)","2026-06-13","passed","2026-06-13","","topFailurePatterns and topCriticalIssues","",""
"","1","returns WARNING for flakyTestCount = 6 (just above the 5 boundary)","evaluateHealth","2026-06-13","passed","2026-06-13","","WARNING","",""
"","21","404 PROJECT_NOT_FOUND for unknown projectId","GET /api/v1/projects/:projectId/health (integration)","2026-06-13","passed","2026-06-13","","","",""
"","0","returns false for non-pg-shaped input: 42","isForeignKeyViolation","2026-06-13","passed","2026-06-13","","","",""
"","97","returns the run for a known id","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","findById","",""
"","36","persists a project with all fields and returns the populated entity","PgProjectRepository (integration)","2026-06-13","passed","2026-06-13","","create","",""
"","1","detects assertion category from ""expect(""","extractPattern","2026-06-13","passed","2026-06-13","","category detection","",""
"","1","uses testName as fullName when suiteName is absent","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","fullName normalization","",""
"","1","accepts junit_xml","isSourceType","2026-06-13","passed","2026-06-13","","","",""
"","1","returns BROKEN for SKIPPED mixed with FAILED (only failures remain after filter)","classifyReliability","2026-06-13","passed","2026-06-13","","BROKEN classifications","",""
"","1","ignores PASSED and SKIPPED cases","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","1","throws 404 when the run belongs to a different project","getRunCases","2026-06-13","passed","2026-06-13","","","",""
"","43","returns items ordered by createdAt DESC (newest first)","PgProjectRepository (integration)","2026-06-13","passed","2026-06-13","","list","",""
"","1","maps Jest status passed to PASSED","jestAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","2","falls back to ""Unknown failure in <testName>"" when both message and type are absent","extractPattern","2026-06-13","passed","2026-06-13","","fallbacks when failureMessage is absent","",""
"","86","persists N=3 cases for the fixture run","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","createMany","",""
"","1","applies limit while total reflects pre-limit count","getFlakyTests","2026-06-13","passed","2026-06-13","","","",""
"","1","defaults retryCount to 0 when absent","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","field defaults","",""
"","1","passes the TxClient through to every upsertByPattern call","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","0","uses new Date() when now is omitted (ancient lastSeenAt → stale)","assignSeverity","2026-06-13","passed","2026-06-13","","now defaulting","",""
"","24","200 returns RunResponse on hit","test-run query endpoints (integration)","2026-06-13","passed","2026-06-13","","GET /api/v1/projects/:projectId/runs/:runId","",""
"","2","applies defaults page=1, limit=20 when input omits them","listRuns","2026-06-13","passed","2026-06-13","","","",""
"","1","does not emit PASS_RATE_CRITICAL at recentFailureRate=0.20 (boundary; > 0.20 required)","detectIssues","2026-06-13","passed","2026-06-13","","PASS_RATE_LOW / PASS_RATE_CRITICAL","",""
"","1","returns no pattern issues for an empty patterns array","detectIssues","2026-06-13","passed","2026-06-13","","HIGH_SEVERITY_PATTERN / CRITICAL_SEVERITY_PATTERN","",""
"","42","populates topCriticalIssues after ingesting three distinct BROKEN tests","GET /api/v1/projects/:projectId/overview (integration)","2026-06-13","passed","2026-06-13","","topFailurePatterns and topCriticalIssues","",""
"","10","emits HIGH_SEVERITY_PATTERN warning when a HIGH pattern exists","getProjectHealth","2026-06-13","passed","2026-06-13","","warnings and critical issues","",""
"","23","maps Ajv validation errors to 400 VALIDATION_ERROR","error-handler plugin","2026-06-13","passed","2026-06-13","","within /api/v1","",""
"","24","filters by environment only","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","listByProject","",""
"","1","propagates errors from caseRepo.createMany unchanged","ingestTestRun","2026-06-13","passed","2026-06-13","","error propagation","",""
"","6","returns mapped items, total, page, limit on happy path","listRuns","2026-06-13","passed","2026-06-13","","","",""
